name,pose,truncated,difficult,xmin,ymin,xmax,ymax,Image
pitted_surface,Unspecified,0,0,1,1,200,200,pitted_surface_57
pitted_surface,Unspecified,0,0,45,12,162,195,pitted_surface_194
crazing,Unspecified,0,0,26,124,151,198,crazing_213
crazing,Unspecified,0,0,33,7,157,56,crazing_213
inclusion,Unspecified,0,0,54,2,78,187,inclusion_252
inclusion,Unspecified,0,0,143,2,166,68,inclusion_252
rolled-in_scale,Unspecified,0,0,91,3,159,49,rolled-in_scale_77
rolled-in_scale,Unspecified,0,0,57,71,156,198,rolled-in_scale_77
inclusion,Unspecified,0,0,87,46,117,116,inclusion_70
inclusion,Unspecified,0,0,86,127,106,179,inclusion_70
inclusion,Unspecified,0,0,24,5,73,179,inclusion_70
crazing,Unspecified,1,0,1,13,198,110,crazing_265
crazing,Unspecified,0,0,4,119,133,186,crazing_265
inclusion,Unspecified,0,0,23,98,39,132,inclusion_2
inclusion,Unspecified,0,1,108,128,123,156,inclusion_2
inclusion,Unspecified,0,0,106,166,132,199,inclusion_2
inclusion,Unspecified,1,0,47,1,73,199,inclusion_15
inclusion,Unspecified,1,0,93,55,124,200,inclusion_15
inclusion,Unspecified,0,0,147,53,169,124,inclusion_15
inclusion,Unspecified,0,0,182,43,197,74,inclusion_15
inclusion,Unspecified,0,0,95,10,112,50,inclusion_15
inclusion,Unspecified,1,0,161,1,179,44,inclusion_15
inclusion,Unspecified,1,0,64,1,84,53,inclusion_174
inclusion,Unspecified,0,0,66,70,89,107,inclusion_174
inclusion,Unspecified,0,0,33,115,51,152,inclusion_278
inclusion,Unspecified,1,0,136,1,171,199,inclusion_278
inclusion,Unspecified,0,0,38,52,59,86,inclusion_278
rolled-in_scale,Unspecified,0,0,18,103,105,187,rolled-in_scale_273
rolled-in_scale,Unspecified,1,0,10,1,99,88,rolled-in_scale_273
crazing,Unspecified,0,0,15,9,107,82,crazing_155
crazing,Unspecified,0,0,111,55,191,168,crazing_155
crazing,Unspecified,0,0,2,91,108,149,crazing_155
crazing,Unspecified,0,0,2,84,177,182,crazing_81
patches,Unspecified,0,0,13,110,70,176,patches_228
patches,Unspecified,0,0,79,12,160,198,patches_228
pitted_surface,Unspecified,0,0,3,1,138,185,pitted_surface_104
crazing,Unspecified,0,0,6,147,182,191,crazing_233
crazing,Unspecified,1,0,1,21,198,121,crazing_233
rolled-in_scale,Unspecified,0,0,140,136,198,198,rolled-in_scale_222
rolled-in_scale,Unspecified,0,0,112,45,179,170,rolled-in_scale_222
crazing,Unspecified,1,0,1,1,186,54,crazing_215
crazing,Unspecified,0,0,11,35,197,109,crazing_215
crazing,Unspecified,0,0,4,98,184,184,crazing_215
scratches,Unspecified,1,0,56,1,88,199,scratches_179
pitted_surface,Unspecified,0,0,1,1,103,135,pitted_surface_124
pitted_surface,Unspecified,0,0,117,1,195,54,pitted_surface_124
scratches,Unspecified,1,0,1,122,93,133,scratches_268
scratches,Unspecified,1,0,1,149,197,165,scratches_268
inclusion,Unspecified,1,0,27,1,82,199,inclusion_202
inclusion,Unspecified,0,0,33,5,46,36,inclusion_1
inclusion,Unspecified,0,0,120,34,130,60,inclusion_1
inclusion,Unspecified,0,0,116,115,135,198,inclusion_1
inclusion,Unspecified,0,0,115,72,140,116,inclusion_1
scratches,Unspecified,1,0,28,1,53,199,scratches_215
scratches,Unspecified,1,0,114,48,141,200,scratches_215
crazing,Unspecified,1,0,1,34,60,95,crazing_128
crazing,Unspecified,0,0,89,79,156,137,crazing_128
crazing,Unspecified,0,0,90,28,174,75,crazing_128
inclusion,Unspecified,0,0,66,5,98,196,inclusion_33
inclusion,Unspecified,0,0,113,4,144,111,inclusion_33
inclusion,Unspecified,0,0,142,55,167,129,inclusion_33
crazing,Unspecified,0,0,26,70,165,189,crazing_73
crazing,Unspecified,0,0,53,41,157,108,crazing_73
inclusion,Unspecified,0,0,75,58,115,123,inclusion_89
inclusion,Unspecified,1,0,126,1,157,98,inclusion_89
inclusion,Unspecified,0,0,166,137,188,177,inclusion_89
inclusion,Unspecified,0,0,28,21,42,46,inclusion_89
inclusion,Unspecified,0,0,28,74,43,104,inclusion_89
pitted_surface,Unspecified,0,0,103,1,199,194,pitted_surface_168
pitted_surface,Unspecified,0,0,27,1,101,115,pitted_surface_168
crazing,Unspecified,0,0,112,69,198,150,crazing_80
rolled-in_scale,Unspecified,0,0,54,45,126,197,rolled-in_scale_297
rolled-in_scale,Unspecified,0,0,104,96,168,177,rolled-in_scale_297
rolled-in_scale,Unspecified,0,0,57,52,112,138,rolled-in_scale_164
inclusion,Unspecified,0,0,79,46,101,136,inclusion_158
inclusion,Unspecified,0,0,130,78,198,198,inclusion_158
inclusion,Unspecified,0,0,21,2,60,184,inclusion_297
pitted_surface,Unspecified,1,0,1,1,162,198,pitted_surface_251
pitted_surface,Unspecified,0,0,3,6,155,195,pitted_surface_189
inclusion,Unspecified,0,1,22,107,34,133,inclusion_140
inclusion,Unspecified,0,0,106,73,129,118,inclusion_140
inclusion,Unspecified,0,0,118,6,140,60,inclusion_140
inclusion,Unspecified,0,0,135,43,180,196,inclusion_150
inclusion,Unspecified,1,0,77,1,126,199,inclusion_215
inclusion,Unspecified,0,0,59,136,83,199,inclusion_215
inclusion,Unspecified,0,0,61,13,82,63,inclusion_215
crazing,Unspecified,0,0,44,26,183,191,crazing_289
patches,Unspecified,1,0,11,1,68,200,patches_174
patches,Unspecified,1,0,132,1,200,200,patches_174
inclusion,Unspecified,1,0,1,122,21,178,patches_174
inclusion,Unspecified,0,0,102,88,125,111,patches_174
inclusion,Unspecified,1,0,90,1,125,197,inclusion_247
rolled-in_scale,Unspecified,0,0,40,3,167,59,rolled-in_scale_293
rolled-in_scale,Unspecified,0,0,39,110,164,191,rolled-in_scale_293
scratches,Unspecified,1,0,53,1,69,132,scratches_209
scratches,Unspecified,1,0,114,1,144,147,scratches_209
inclusion,Unspecified,0,0,115,47,199,94,scratches_209
crazing,Unspecified,1,0,53,120,200,160,crazing_51
crazing,Unspecified,1,0,70,1,177,55,crazing_51
crazing,Unspecified,0,0,4,54,147,161,crazing_75
crazing,Unspecified,1,0,158,24,200,173,crazing_75
crazing,Unspecified,1,0,1,81,184,160,crazing_185
inclusion,Unspecified,1,0,64,1,108,197,inclusion_66
patches,Unspecified,0,0,97,50,189,188,patches_224
patches,Unspecified,0,0,106,8,153,56,patches_224
patches,Unspecified,1,0,1,1,64,198,patches_224
patches,Unspecified,0,0,71,164,160,199,patches_224
rolled-in_scale,Unspecified,0,0,13,31,68,83,rolled-in_scale_217
rolled-in_scale,Unspecified,0,0,29,126,71,168,rolled-in_scale_217
patches,Unspecified,1,0,27,1,78,92,patches_101
patches,Unspecified,1,0,113,1,175,59,patches_101
patches,Unspecified,1,0,129,79,176,200,patches_101
rolled-in_scale,Unspecified,0,0,66,14,183,61,rolled-in_scale_96
rolled-in_scale,Unspecified,1,0,45,107,107,200,rolled-in_scale_96
pitted_surface,Unspecified,0,0,2,1,195,195,pitted_surface_12
rolled-in_scale,Unspecified,0,0,22,62,157,192,rolled-in_scale_249
pitted_surface,Unspecified,0,0,1,1,199,199,pitted_surface_28
pitted_surface,Unspecified,0,0,55,1,124,25,pitted_surface_28
crazing,Unspecified,0,0,11,33,100,103,crazing_46
rolled-in_scale,Unspecified,0,0,23,40,94,125,rolled-in_scale_163
rolled-in_scale,Unspecified,1,0,56,143,127,200,rolled-in_scale_163
crazing,Unspecified,1,0,9,105,200,167,crazing_94
crazing,Unspecified,1,0,1,34,194,75,crazing_94
rolled-in_scale,Unspecified,0,0,15,120,81,192,rolled-in_scale_158
patches,Unspecified,1,0,1,13,47,88,patches_142
patches,Unspecified,1,0,1,106,60,199,patches_142
patches,Unspecified,0,0,63,26,128,107,patches_142
patches,Unspecified,1,0,130,1,197,161,patches_142
patches,Unspecified,0,0,100,127,179,199,patches_142
pitted_surface,Unspecified,0,0,10,7,198,198,pitted_surface_274
patches,Unspecified,1,0,7,1,85,109,patches_215
patches,Unspecified,1,0,125,1,196,131,patches_215
patches,Unspecified,1,0,1,87,67,193,patches_215
patches,Unspecified,1,0,60,65,133,200,patches_215
patches,Unspecified,1,0,135,136,197,200,patches_215
inclusion,Unspecified,0,0,85,3,134,197,inclusion_276
inclusion,Unspecified,1,0,84,1,109,85,inclusion_276
patches,Unspecified,1,0,1,1,66,79,patches_146
patches,Unspecified,1,0,6,68,74,200,patches_146
patches,Unspecified,1,0,139,1,178,48,patches_146
pitted_surface,Unspecified,1,0,1,1,196,200,pitted_surface_164
pitted_surface,Unspecified,1,0,74,1,199,174,pitted_surface_172
patches,Unspecified,1,0,20,166,72,200,pitted_surface_172
patches,Unspecified,1,0,155,157,200,200,pitted_surface_172
inclusion,Unspecified,0,0,6,3,49,198,inclusion_113
inclusion,Unspecified,0,0,75,120,105,199,inclusion_113
inclusion,Unspecified,1,0,109,1,136,73,inclusion_113
inclusion,Unspecified,0,0,117,122,133,169,inclusion_113
inclusion,Unspecified,0,0,116,160,142,198,inclusion_113
inclusion,Unspecified,0,0,167,160,188,198,inclusion_113
rolled-in_scale,Unspecified,0,0,15,117,191,194,rolled-in_scale_268
rolled-in_scale,Unspecified,0,0,25,27,166,158,rolled-in_scale_268
inclusion,Unspecified,0,0,81,19,111,163,inclusion_180
inclusion,Unspecified,0,0,140,51,156,86,inclusion_180
patches,Unspecified,0,0,15,75,81,147,patches_67
patches,Unspecified,0,0,143,35,179,108,patches_67
patches,Unspecified,1,0,163,163,194,200,patches_67
rolled-in_scale,Unspecified,0,0,36,103,152,171,rolled-in_scale_286
rolled-in_scale,Unspecified,0,0,30,15,150,95,rolled-in_scale_286
scratches,Unspecified,1,0,126,1,140,80,scratches_31
scratches,Unspecified,0,0,123,115,137,199,scratches_31
crazing,Unspecified,0,0,28,76,129,157,crazing_54
crazing,Unspecified,0,0,31,26,196,71,crazing_54
scratches,Unspecified,0,0,17,3,82,198,scratches_7
scratches,Unspecified,0,0,80,40,93,110,scratches_7
scratches,Unspecified,0,1,78,129,92,199,scratches_7
inclusion,Unspecified,1,0,127,1,148,47,scratches_7
inclusion,Unspecified,1,0,127,1,152,179,inclusion_19
inclusion,Unspecified,1,0,173,1,199,91,inclusion_19
inclusion,Unspecified,0,0,176,81,192,148,inclusion_19
inclusion,Unspecified,0,0,30,30,52,98,inclusion_69
inclusion,Unspecified,0,0,37,116,56,167,inclusion_69
inclusion,Unspecified,0,0,141,71,165,146,inclusion_69
crazing,Unspecified,1,0,1,107,198,189,crazing_76
crazing,Unspecified,0,0,73,19,180,81,crazing_76
scratches,Unspecified,0,0,104,10,128,199,scratches_35
patches,Unspecified,1,0,86,1,164,192,patches_284
patches,Unspecified,0,0,46,120,105,179,patches_284
pitted_surface,Unspecified,0,0,1,1,200,196,pitted_surface_42
inclusion,Unspecified,0,0,23,10,87,199,inclusion_23
inclusion,Unspecified,0,0,109,98,132,198,inclusion_23
inclusion,Unspecified,0,0,164,67,194,190,inclusion_23
inclusion,Unspecified,0,0,75,16,93,75,inclusion_23
scratches,Unspecified,1,0,71,55,87,200,scratches_229
inclusion,Unspecified,1,0,95,1,114,41,scratches_229
crazing,Unspecified,0,0,3,26,126,95,crazing_97
crazing,Unspecified,1,0,132,3,200,89,crazing_97
crazing,Unspecified,0,0,47,102,152,188,crazing_97
rolled-in_scale,Unspecified,0,0,61,97,164,199,rolled-in_scale_200
rolled-in_scale,Unspecified,0,0,117,110,177,158,rolled-in_scale_200
pitted_surface,Unspecified,0,0,46,1,200,200,pitted_surface_81
scratches,Unspecified,1,0,1,78,199,100,scratches_45
crazing,Unspecified,1,0,1,91,150,163,crazing_32
crazing,Unspecified,1,0,1,2,158,79,crazing_32
inclusion,Unspecified,0,0,136,11,155,53,inclusion_179
inclusion,Unspecified,0,0,21,130,64,197,inclusion_179
rolled-in_scale,Unspecified,0,0,14,66,121,199,rolled-in_scale_224
rolled-in_scale,Unspecified,0,0,114,104,192,189,rolled-in_scale_224
rolled-in_scale,Unspecified,0,0,17,18,145,101,rolled-in_scale_224
patches,Unspecified,0,0,41,64,98,161,patches_300
patches,Unspecified,0,0,47,15,99,86,patches_300
inclusion,Unspecified,0,1,57,77,80,111,inclusion_234
inclusion,Unspecified,0,0,84,24,122,87,inclusion_234
inclusion,Unspecified,1,0,83,148,131,200,inclusion_234
crazing,Unspecified,0,0,3,2,96,62,crazing_65
crazing,Unspecified,0,0,5,78,103,199,crazing_65
crazing,Unspecified,0,0,124,3,199,162,crazing_65
pitted_surface,Unspecified,0,0,9,11,103,167,pitted_surface_282
pitted_surface,Unspecified,0,0,71,18,192,189,pitted_surface_282
pitted_surface,Unspecified,0,0,42,14,189,194,pitted_surface_278
pitted_surface,Unspecified,1,0,25,1,196,180,pitted_surface_94
crazing,Unspecified,1,0,1,24,127,101,crazing_106
crazing,Unspecified,0,0,16,120,189,156,crazing_106
crazing,Unspecified,0,0,113,152,177,188,crazing_106
patches,Unspecified,0,0,4,71,78,167,patches_113
patches,Unspecified,0,0,135,39,181,76,patches_113
patches,Unspecified,1,0,16,1,59,111,patches_132
patches,Unspecified,0,0,109,14,189,191,patches_132
patches,Unspecified,0,0,21,32,58,110,patches_68
patches,Unspecified,0,0,160,13,199,67,patches_68
patches,Unspecified,1,0,37,163,70,200,patches_68
patches,Unspecified,1,0,5,1,70,56,patches_140
patches,Unspecified,0,0,20,118,65,192,patches_140
patches,Unspecified,0,0,82,127,141,193,patches_140
patches,Unspecified,1,0,98,1,154,42,patches_140
patches,Unspecified,1,0,154,10,200,199,patches_140
rolled-in_scale,Unspecified,1,0,78,1,133,47,rolled-in_scale_276
rolled-in_scale,Unspecified,1,0,1,32,49,76,rolled-in_scale_276
pitted_surface,Unspecified,0,0,1,57,200,200,pitted_surface_9
rolled-in_scale,Unspecified,0,0,33,31,91,120,rolled-in_scale_11
inclusion,Unspecified,1,0,26,1,64,199,inclusion_270
scratches,Unspecified,1,0,128,1,141,56,scratches_23
scratches,Unspecified,0,0,122,90,140,199,scratches_23
scratches,Unspecified,0,0,38,2,124,198,scratches_23
inclusion,Unspecified,1,0,56,1,87,138,inclusion_112
inclusion,Unspecified,0,0,182,8,198,62,inclusion_112
inclusion,Unspecified,1,0,94,1,111,49,inclusion_112
patches,Unspecified,0,0,74,5,182,103,patches_266
patches,Unspecified,0,0,4,2,38,31,patches_266
patches,Unspecified,0,0,9,6,62,76,patches_266
pitted_surface,Unspecified,1,0,22,1,199,141,pitted_surface_288
scratches,Unspecified,1,0,11,1,42,199,scratches_121
scratches,Unspecified,0,0,139,7,164,143,scratches_121
inclusion,Unspecified,0,0,170,16,199,109,scratches_121
scratches,Unspecified,1,0,88,1,106,200,scratches_170
inclusion,Unspecified,0,0,35,61,61,195,inclusion_221
inclusion,Unspecified,0,0,138,12,182,199,inclusion_221
inclusion,Unspecified,0,0,127,11,143,34,inclusion_221
patches,Unspecified,1,0,6,1,85,191,patches_295
patches,Unspecified,1,0,144,1,200,124,patches_295
patches,Unspecified,0,0,143,118,183,198,patches_295
rolled-in_scale,Unspecified,0,0,130,72,199,197,rolled-in_scale_291
rolled-in_scale,Unspecified,1,0,85,1,187,28,rolled-in_scale_291
rolled-in_scale,Unspecified,0,0,80,48,143,92,rolled-in_scale_291
scratches,Unspecified,1,0,88,1,108,199,scratches_129
inclusion,Unspecified,1,0,126,1,198,197,scratches_129
rolled-in_scale,Unspecified,0,0,47,89,158,197,rolled-in_scale_171
rolled-in_scale,Unspecified,0,0,39,27,158,94,rolled-in_scale_171
patches,Unspecified,0,0,10,65,72,149,patches_282
patches,Unspecified,1,0,131,70,186,200,patches_282
patches,Unspecified,1,0,128,1,170,73,patches_282
inclusion,Unspecified,0,0,107,79,136,198,inclusion_169
inclusion,Unspecified,0,0,75,156,99,190,inclusion_169
inclusion,Unspecified,1,0,102,1,122,35,inclusion_169
patches,Unspecified,0,0,4,5,87,73,patches_181
patches,Unspecified,0,0,102,86,156,165,patches_181
patches,Unspecified,1,0,126,10,200,76,patches_181
patches,Unspecified,0,0,54,156,95,198,patches_181
patches,Unspecified,0,0,14,41,63,80,patches_232
patches,Unspecified,0,0,103,12,146,80,patches_232
patches,Unspecified,0,0,37,163,85,199,patches_232
patches,Unspecified,0,0,113,66,185,115,patches_232
patches,Unspecified,1,0,1,1,40,25,patches_232
patches,Unspecified,0,0,71,130,141,169,patches_232
patches,Unspecified,1,0,54,1,103,154,patches_211
patches,Unspecified,0,0,95,61,185,197,patches_211
patches,Unspecified,1,0,2,1,44,16,patches_211
patches,Unspecified,1,0,54,129,99,200,patches_211
inclusion,Unspecified,0,0,147,25,184,77,patches_211
crazing,Unspecified,0,0,17,58,177,161,crazing_194
scratches,Unspecified,1,0,42,1,76,199,scratches_108
inclusion,Unspecified,0,0,133,129,150,193,scratches_108
inclusion,Unspecified,0,0,159,134,178,184,scratches_108
inclusion,Unspecified,0,0,7,145,20,179,scratches_108
rolled-in_scale,Unspecified,0,0,74,16,121,70,rolled-in_scale_176
rolled-in_scale,Unspecified,0,0,119,72,170,159,rolled-in_scale_176
pitted_surface,Unspecified,1,0,5,1,126,194,pitted_surface_272
pitted_surface,Unspecified,0,0,115,3,199,198,pitted_surface_272
patches,Unspecified,1,0,96,1,143,31,pitted_surface_272
scratches,Unspecified,1,0,24,1,37,200,scratches_196
inclusion,Unspecified,0,0,3,46,18,74,inclusion_292
inclusion,Unspecified,0,0,77,27,99,82,inclusion_292
inclusion,Unspecified,0,0,83,89,108,166,inclusion_292
inclusion,Unspecified,1,0,1,106,15,144,inclusion_292
inclusion,Unspecified,0,0,79,81,89,116,inclusion_292
inclusion,Unspecified,1,0,93,164,108,200,inclusion_292
inclusion,Unspecified,0,0,184,80,198,113,inclusion_292
inclusion,Unspecified,0,0,69,44,108,114,inclusion_91
inclusion,Unspecified,0,0,42,8,65,74,inclusion_91
inclusion,Unspecified,0,0,28,119,58,186,inclusion_91
inclusion,Unspecified,1,0,25,1,36,24,inclusion_91
patches,Unspecified,0,0,52,1,122,168,patches_185
scratches,Unspecified,1,0,1,84,172,109,scratches_103
patches,Unspecified,0,0,119,54,187,199,patches_293
patches,Unspecified,0,0,135,10,175,85,patches_293
pitted_surface,Unspecified,0,0,1,1,198,200,pitted_surface_141
rolled-in_scale,Unspecified,0,0,71,44,136,184,rolled-in_scale_138
scratches,Unspecified,0,0,49,73,62,198,scratches_144
scratches,Unspecified,1,0,132,1,148,199,scratches_144
scratches,Unspecified,1,0,154,1,178,199,scratches_144
patches,Unspecified,0,0,62,4,136,72,patches_193
patches,Unspecified,0,0,72,96,125,167,patches_193
patches,Unspecified,1,0,130,76,195,200,patches_193
patches,Unspecified,0,0,107,35,179,75,patches_193
patches,Unspecified,1,0,26,1,92,79,patches_296
patches,Unspecified,1,0,116,1,182,70,patches_296
patches,Unspecified,0,0,114,85,178,192,patches_296
scratches,Unspecified,1,0,1,54,152,71,scratches_269
scratches,Unspecified,0,0,112,95,197,107,scratches_269
scratches,Unspecified,1,0,1,118,198,142,scratches_269
scratches,Unspecified,1,0,1,130,171,153,scratches_283
scratches,Unspecified,0,0,12,11,188,37,scratches_283
scratches,Unspecified,1,0,41,1,70,199,scratches_177
scratches,Unspecified,1,0,91,1,106,199,scratches_177
pitted_surface,Unspecified,0,0,1,1,200,199,pitted_surface_24
rolled-in_scale,Unspecified,0,0,43,84,81,112,rolled-in_scale_30
rolled-in_scale,Unspecified,0,0,52,20,149,47,rolled-in_scale_30
scratches,Unspecified,1,0,61,1,81,196,scratches_204
inclusion,Unspecified,1,0,82,1,123,120,inclusion_171
inclusion,Unspecified,0,0,81,134,104,198,inclusion_171
rolled-in_scale,Unspecified,0,0,83,11,179,69,rolled-in_scale_78
rolled-in_scale,Unspecified,0,0,95,80,178,197,rolled-in_scale_78
scratches,Unspecified,1,0,93,1,115,199,scratches_94
scratches,Unspecified,0,0,22,97,42,199,scratches_94
scratches,Unspecified,0,0,120,35,145,173,scratches_94
inclusion,Unspecified,0,0,71,95,85,121,scratches_94
inclusion,Unspecified,0,0,72,144,84,172,scratches_94
patches,Unspecified,0,0,50,1,148,190,patches_157
patches,Unspecified,0,0,1,1,37,106,patches_157
crazing,Unspecified,1,0,1,63,108,124,crazing_126
crazing,Unspecified,0,0,90,23,198,74,crazing_126
patches,Unspecified,1,0,6,1,76,67,patches_145
patches,Unspecified,1,0,4,76,65,200,patches_145
patches,Unspecified,1,0,109,1,174,80,patches_145
patches,Unspecified,0,0,113,69,190,199,patches_145
crazing,Unspecified,1,0,1,94,179,198,crazing_260
crazing,Unspecified,0,0,3,19,198,99,crazing_260
crazing,Unspecified,0,0,7,144,79,188,crazing_118
crazing,Unspecified,1,0,1,65,75,138,crazing_118
crazing,Unspecified,0,0,44,120,178,173,crazing_118
crazing,Unspecified,0,0,58,82,195,133,crazing_118
pitted_surface,Unspecified,0,0,1,1,200,199,pitted_surface_38
rolled-in_scale,Unspecified,0,0,55,110,146,198,rolled-in_scale_254
patches,Unspecified,0,0,21,17,64,189,patches_130
patches,Unspecified,0,0,116,87,192,199,patches_130
patches,Unspecified,1,0,161,1,187,16,patches_130
